species	external_id	current_symbol	prev_or_alias
rat	NCBI_Gene:24152	Asip	Asip
rat	NCBI_Gene:24152	Asip	ASP
rat	RGD:2003	Asip	Asip
rat	NCBI_Gene:24153	A2m	A2m
rat	NCBI_Gene:24153	A2m	A2MAC1
rat	NCBI_Gene:24153	A2m	A2m1
rat	NCBI_Gene:24153	A2m	A2maa
rat	NCBI_Gene:24153	A2m	A2mb
rat	NCBI_Gene:24153	A2m	Mam
rat	RGD:2004	A2m	A2m
rat	Ensembl:ENSRNOG00000028896	A2m	A2m
rat	NCBI_Gene:24157	Acaa1a	Acaa1a
rat	NCBI_Gene:24157	Acaa1a	Acaa
rat	NCBI_Gene:24157	Acaa1a	Acaa1
rat	NCBI_Gene:24157	Acaa1a	Pktaa
rat	RGD:67379	Acaa1a	Acaa1a
rat	Ensembl:ENSRNOG00000032908	Acaa1a	Acaa1a
rat	NCBI_Gene:24158	Acadm	Acadm
rat	NCBI_Gene:24158	Acadm	MCAD
rat	RGD:2012	Acadm	Acadm
rat	Ensembl:ENSRNOG00000009845	Acadm	Acadm
rat	NCBI_Gene:24159	Acly	Acly
rat	NCBI_Gene:24159	Acly	ACL
rat	NCBI_Gene:24159	Acly	Clatp
rat	RGD:2018	Acly	Acly
rat	Ensembl:ENSRNOG00000016924	Acly	Acly
rat	NCBI_Gene:24161	Acp1	Acp1
rat	RGD:2020	Acp1	Acp1
rat	Ensembl:ENSRNOG00000005260	Acp1	Acp1
rat	NCBI_Gene:24162	Acp2	Acp2
rat	NCBI_Gene:24162	Acp2	LAP
rat	RGD:2021	Acp2	Acp2
rat	Ensembl:ENSRNOG00000013594	Acp2	Acp2
rat	NCBI_Gene:24163	Acr	Acr
rat	NCBI_Gene:24163	Acr	Acro
rat	RGD:2024	Acr	Acr
rat	Ensembl:ENSRNOG00000029762	Acr	Acr
rat	NCBI_Gene:24165	Ada	Ada
rat	RGD:2031	Ada	Ada
rat	Ensembl:ENSRNOG00000010265	Ada	Ada
rat	NCBI_Gene:24166	Adcyap1	Adcyap1
rat	NCBI_Gene:24166	Adcyap1	Pacap
rat	RGD:2037	Adcyap1	Adcyap1
rat	Ensembl:ENSRNOG00000049882	Adcyap1	Adcyap1
rat	NCBI_Gene:24167	Adcyap1r1	Adcyap1r1
rat	NCBI_Gene:24167	Adcyap1r1	PAC1-R
rat	NCBI_Gene:24167	Adcyap1r1	PACAP-R1
rat	NCBI_Gene:24167	Adcyap1r1	PACAP-R1A
rat	NCBI_Gene:24167	Adcyap1r1	PACAPR1
rat	NCBI_Gene:24167	Adcyap1r1	PACAPR1A
rat	RGD:2038	Adcyap1r1	Adcyap1r1
rat	Ensembl:ENSRNOG00000012098	Adcyap1r1	Adcyap1r1
rat	NCBI_Gene:24170	Add1	Add1
rat	RGD:2041	Add1	Add1
rat	Ensembl:ENSRNOG00000013039	Add1	Add1
rat	NCBI_Gene:24171	Add2	Add2
rat	NCBI_Gene:24171	Add2	beta-ADD
rat	RGD:2042	Add2	Add2
rat	Ensembl:ENSRNOG00000015903	Add2	Add2
rat	NCBI_Gene:24172	Adh1c	Adh1c
rat	NCBI_Gene:24172	Adh1c	Adh
rat	NCBI_Gene:24172	Adh1c	Adh1
rat	NCBI_Gene:24172	Adh1c	Adh1a
rat	RGD:2044	Adh1c	Adh1c
rat	Ensembl:ENSRNOG00000012436	Adh1c	Adh1c
rat	NCBI_Gene:24173	Adra1b	Adra1b
rat	RGD:2054	Adra1b	Adra1b
rat	Ensembl:ENSRNOG00000060087	Adra1b	Adra1b
rat	NCBI_Gene:24174	Adra2b	Adra2b
rat	RGD:2057	Adra2b	Adra2b
rat	Ensembl:ENSRNOG00000013887	Adra2b	Adra2b
rat	NCBI_Gene:24175	Adra2c	Adra2c
rat	RGD:2058	Adra2c	Adra2c
rat	Ensembl:ENSRNOG00000084818	Adra2c	Adra2c
rat	NCBI_Gene:24176	Adrb2	Adrb2
rat	RGD:2060	Adrb2	Adrb2
rat	Ensembl:ENSRNOG00000019217	Adrb2	Adrb2
rat	NCBI_Gene:24177	Afp	Afp
rat	RGD:2065	Afp	Afp
rat	Ensembl:ENSRNOG00000002889	Afp	Afp
rat	NCBI_Gene:24179	Agt	Agt
rat	NCBI_Gene:24179	Agt	ANRT
rat	NCBI_Gene:24179	Agt	Ang
rat	NCBI_Gene:24179	Agt	AngII
rat	NCBI_Gene:24179	Agt	PAT
rat	RGD:2069	Agt	Agt
rat	Ensembl:ENSRNOG00000018445	Agt	Agt
rat	NCBI_Gene:24180	Agtr1a	Agtr1a
rat	NCBI_Gene:24180	Agtr1a	AT1
rat	NCBI_Gene:24180	Agtr1a	AT1A
rat	NCBI_Gene:24180	Agtr1a	AT1R
rat	NCBI_Gene:24180	Agtr1a	Agtr1
rat	RGD:2070	Agtr1a	Agtr1a
rat	Ensembl:ENSRNOG00000018346	Agtr1a	Agtr1a
rat	NCBI_Gene:24182	Agtr2	Agtr2
rat	NCBI_Gene:24182	Agtr2	AT2-R
rat	NCBI_Gene:24182	Agtr2	AT2R
rat	NCBI_Gene:24182	Agtr2	AT<sub>2</sub>R
rat	RGD:2072	Agtr2	Agtr2
rat	Ensembl:ENSRNOG00000050006	Agtr2	Agtr2
rat	NCBI_Gene:24183	Ak1	Ak1
rat	NCBI_Gene:24183	Ak1	Ak 1
rat	RGD:2076	Ak1	Ak1
rat	Ensembl:ENSRNOG00000049056	Ak1	Ak1
rat	NCBI_Gene:24184	Ak2	Ak2
rat	RGD:2077	Ak2	Ak2
rat	Ensembl:ENSRNOG00000000122	Ak2	Ak2
rat	NCBI_Gene:24185	Akt1	Akt1
rat	NCBI_Gene:24185	Akt1	Akt
rat	RGD:2081	Akt1	Akt1
rat	Ensembl:ENSRNOG00000028629	Akt1	Akt1
rat	NCBI_Gene:24186	Alb	Alb
rat	NCBI_Gene:24186	Alb	Alb1
rat	NCBI_Gene:24186	Alb	Albza
rat	RGD:2085	Alb	Alb
rat	Ensembl:ENSRNOG00000002911	Alb	Alb
rat	NCBI_Gene:24188	Aldh1a1	Aldh1a1
rat	NCBI_Gene:24188	Aldh1a1	Ahd2
rat	NCBI_Gene:24188	Aldh1a1	Aldh1
rat	NCBI_Gene:24188	Aldh1a1	Aldh2
