pmc_id	save_as	epmc_error	ncbi_url_new_scheme	ncbi_url_original
PMC7314938	PMC7314938_Table_3.XLSX	detect failed: ValueError: Excel file format cannot be determined, you must spec	https://pmc.ncbi.nlm.nih.gov/articles/instance/7314938/bin/Table_6.XLSX	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7314938/bin/Table_6.XLSX
PMC4500281	PMC4500281_pnas.1504232112.sd01.xlsx	epmc returned non-zip response (article likely has no supplementary files)	https://pmc.ncbi.nlm.nih.gov/articles/instance/4500281/bin/pnas.1504232112.sd01.xlsx	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4500281/bin/pnas.1504232112.sd01.xlsx
PMC4525316	PMC4525316_MCB.01276-14_zmb999100933sd2.xlsx	epmc returned non-zip response (article likely has no supplementary files)	https://pmc.ncbi.nlm.nih.gov/articles/instance/4525316/bin/MCB.01276-14_zmb999100933sd2.xlsx	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4525316/bin/MCB.01276-14_zmb999100933sd2.xlsx
PMC5233649	PMC5233649_mmc5.xlsx	epmc returned non-zip response (article likely has no supplementary files)	https://pmc.ncbi.nlm.nih.gov/articles/instance/5233649/bin/mmc6.xlsx	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5233649/bin/mmc6.xlsx
PMC7017452	PMC7017452_12920_2020_690_MOESM7_ESM.xls	detect failed: ValueError: Excel file format cannot be determined, you must spec	https://pmc.ncbi.nlm.nih.gov/articles/instance/7017452/bin/12920_2020_690_MOESM8_ESM.xls	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7017452/bin/12920_2020_690_MOESM8_ESM.xls
PMC7655795	PMC7655795_Table_4.XLSX	detect failed: ValueError: Excel file format cannot be determined, you must spec	https://pmc.ncbi.nlm.nih.gov/articles/instance/7655795/bin/Table_4.XLSX	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7655795/bin/Table_4.XLSX
PMC7390911	PMC7390911_Table_1.XLSX	detect failed: ValueError: Excel file format cannot be determined, you must spec	https://pmc.ncbi.nlm.nih.gov/articles/instance/7390911/bin/Table_8.XLSX	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7390911/bin/Table_8.XLSX
PMC5821466	PMC5821466_NIHMS933463-supplement-sup_005.xlsx	epmc returned non-zip response (article likely has no supplementary files)	https://pmc.ncbi.nlm.nih.gov/articles/instance/5821466/bin/NIHMS933463-supplement-sup_005.xlsx	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5821466/bin/NIHMS933463-supplement-sup_005.xlsx
PMC7255947	PMC7255947_NIHMS1575443-supplement-1575443_SuppData1-5.xlsx	epmc zip fetch failed: HTTPStatusError: Client error '404 Not Found' for url 'ht	https://pmc.ncbi.nlm.nih.gov/articles/instance/7255947/bin/NIHMS1575443-supplement-1575443_SuppData1-5.xlsx	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7255947/bin/NIHMS1575443-supplement-1575443_SuppData1-5.xlsx
PMC6339527	PMC6339527_NIHMS1509067-supplement-Sup_Table_2.xls	epmc zip fetch failed: HTTPStatusError: Client error '404 Not Found' for url 'ht	https://pmc.ncbi.nlm.nih.gov/articles/instance/6339527/bin/NIHMS1509067-supplement-Sup_Table_2.xls	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6339527/bin/NIHMS1509067-supplement-Sup_Table_2.xls
