species	external_id	current_symbol	prev_or_alias
fly	FBgn0000001	snRNA:4.5S	snRNA:4.5S
fly	FBgn0000001	snRNA:4.5S	4.5SRNA
fly	FBgn0000001	snRNA:4.5S	4.5S
fly	FBgn0000002	5SrRNA	5SrRNA
fly	FBgn0000002	5SrRNA	RNA X
fly	FBgn0000002	5SrRNA	5S RNA
fly	FBgn0000002	5SrRNA	5SrDNA
fly	FBgn0000002	5SrRNA	5S rRNA
fly	FBgn0000002	5SrRNA	5S-rDNA
fly	FBgn0000002	5SrRNA	l(2)03068
fly	FBgn0000002	5SrRNA	5S_DM
fly	FBgn0000002	5SrRNA	5S
fly	FBgn0000002	5SrRNA	Dm5S
fly	FBgn0000002	5SrRNA	2S rRNA
fly	FBgn0000002	5SrRNA	5SRNA
fly	FBgn0000002	5SrRNA	5s rRNA
fly	FBgn0000002	5SrRNA	PZ03068
fly	FBgn0000002	5SrRNA	rRNA
fly	FBgn0000002	5SrRNA	5S rDNA
fly	FBgn0010528	5SrRNA	5SrRNA
fly	FBgn0000003	7SLRNA:CR32864	7SLRNA:CR32864
fly	FBgn0000003	7SLRNA:CR32864	RNA 7SL
fly	FBgn0000003	7SLRNA:CR32864	7SL RNA
fly	FBgn0000003	7SLRNA:CR32864	7SLRNA
fly	FBgn0000003	7SLRNA:CR32864	CR32864
fly	FBgn0000003	7SLRNA:CR32864	7 S L RNA
fly	FBgn0000003	7SLRNA:CR32864	SRP RNA
fly	CR32864	7SLRNA:CR32864	7SLRNA:CR32864
fly	NCBI_Gene:3771948	7SLRNA:CR32864	7SLRNA:CR32864
fly	FBgn0000008	a	a
fly	FBgn0000008	a	CG6741
fly	FBgn0000008	a	bran
fly	FBgn0000008	a	arc
fly	FBgn0000008	a	CG13505
fly	FBgn0000008	a	broad angular
fly	FBgn0000008	a	Arc
fly	CG6741	a	a
fly	FBgn0034701	a	a
fly	FBgn0034702	a	a
fly	NCBI_Gene:43852	a	a
fly	FBgn0000009	Abnormal-abdomen	Abnormal-abdomen
fly	FBgn0000009	Abnormal-abdomen	A
fly	FBgn0000009	Abnormal-abdomen	Abnormal
fly	FBgn0000010	aa	aa
fly	FBgn0000010	aa	al-b
fly	FBgn0000010	aa	aristaless-b
fly	FBgn0000012	abb	abb
fly	FBgn0000013	abd	abd
fly	FBgn0000013	abd	a(3)26
fly	FBgn0000013	abd	a-3
fly	FBgn0000014	abd-A	abd-A
fly	FBgn0000014	abd-A	abdominal-A
fly	FBgn0000014	abd-A	infra-abdominal 2
fly	FBgn0000014	abd-A	AbdA
fly	FBgn0000014	abd-A	Fab-3
fly	FBgn0000014	abd-A	Hab
fly	FBgn0000014	abd-A	infra-abdominal 3
fly	FBgn0000014	abd-A	Abd-A
fly	FBgn0000014	abd-A	abd_a
fly	FBgn0000014	abd-A	Uab
fly	FBgn0000014	abd-A	iab4
fly	FBgn0000014	abd-A	iab-5
fly	FBgn0000014	abd-A	abdominal-a
fly	FBgn0000014	abd-A	iab-4
fly	FBgn0000014	abd-A	infraabdominal
fly	FBgn0000014	abd-A	ABD-A
fly	FBgn0000014	abd-A	abd-a
fly	FBgn0000014	abd-A	Fub
fly	FBgn0000014	abd-A	Front-ultraabdominal
fly	FBgn0000014	abd-A	Cbxd
fly	FBgn0000014	abd-A	abda
fly	FBgn0000014	abd-A	l(3)89Ec
fly	FBgn0000014	abd-A	AbdominalA
fly	FBgn0000014	abd-A	iab-2
fly	FBgn0000014	abd-A	Ultraabdominal
fly	FBgn0000014	abd-A	iab-3
fly	FBgn0000014	abd-A	BX-C
fly	FBgn0000014	abd-A	Dmabda
fly	FBgn0000014	abd-A	Abdominal-A
fly	FBgn0000014	abd-A	abd A
fly	FBgn0000014	abd-A	Fab-4
fly	FBgn0000014	abd-A	Abdominal A
fly	FBgn0000014	abd-A	Contrabithoraxoid
fly	FBgn0000014	abd-A	abdominalA
fly	FBgn0000014	abd-A	infra-abdominal 4
fly	FBgn0000014	abd-A	DmabdA
fly	FBgn0000014	abd-A	iab2
fly	FBgn0000014	abd-A	Hyperabdominal
fly	FBgn0000014	abd-A	CG10325
fly	FBgn0000014	abd-A	iab3
fly	FBgn0000014	abd-A	abdA
fly	FBgn0000014	abd-A	Abda
fly	FBgn0000014	abd-A	iab
fly	FBgn0000014	abd-A	Abd A
fly	CG10325	abd-A	abd-A
fly	NCBI_Gene:42037	abd-A	abd-A
fly	FBgn0000015	Abd-B	Abd-B
fly	FBgn0000015	Abd-B	infra-abdominal 5
fly	FBgn0000015	Abd-B	iab
fly	FBgn0000015	Abd-B	bex
fly	FBgn0000015	Abd-B	abdominal-A
fly	FBgn0000015	Abd-B	iab-7
fly	FBgn0000015	Abd-B	iab8.9
fly	FBgn0000015	Abd-B	MCP
fly	FBgn0000015	Abd-B	abdominal-b
fly	FBgn0000015	Abd-B	IAB7
