species	external_id	current_symbol	prev_or_alias
worm	WBGene00000001	aap-1	aap-1
worm	WBGene00000001	aap-1	CELE_Y110A7A.10
worm	WBGene00000001	aap-1	Y110A7A.10
worm	ENSEMBL:WBGene00000001	aap-1	aap-1
worm	NCBI_Gene:172141	aap-1	aap-1
worm	WBGene00000002	aat-1	aat-1
worm	WBGene00000002	aat-1	CELE_F27C8.1
worm	WBGene00000002	aat-1	F27C8.1
worm	ENSEMBL:WBGene00000002	aat-1	aat-1
worm	NCBI_Gene:177793	aat-1	aat-1
worm	WBGene00000003	aat-2	aat-2
worm	WBGene00000003	aat-2	CELE_F07C3.7
worm	WBGene00000003	aat-2	F07C3.7
worm	ENSEMBL:WBGene00000003	aat-2	aat-2
worm	NCBI_Gene:184126	aat-2	aat-2
worm	WBGene00000004	aat-3	aat-3
worm	WBGene00000004	aat-3	CELE_F52H2.2
worm	WBGene00000004	aat-3	F52H2.2
worm	ENSEMBL:WBGene00000004	aat-3	aat-3
worm	NCBI_Gene:180557	aat-3	aat-3
worm	WBGene00000005	aat-4	aat-4
worm	WBGene00000005	aat-4	CELE_T13A10.10
worm	WBGene00000005	aat-4	T13A10.10
worm	ENSEMBL:WBGene00000005	aat-4	aat-4
worm	NCBI_Gene:177388	aat-4	aat-4
worm	WBGene00000006	aat-5	aat-5
worm	WBGene00000006	aat-5	C55C2.5
worm	WBGene00000006	aat-5	CELE_C55C2.5
worm	ENSEMBL:WBGene00000006	aat-5	aat-5
worm	NCBI_Gene:171814	aat-5	aat-5
worm	WBGene00000007	aat-6	aat-6
worm	WBGene00000007	aat-6	CELE_T11F9.4
worm	WBGene00000007	aat-6	T11F9.4
worm	ENSEMBL:WBGene00000007	aat-6	aat-6
worm	NCBI_Gene:188421	aat-6	aat-6
worm	WBGene00000008	aat-7	aat-7
worm	WBGene00000008	aat-7	CELE_F54D12.3
worm	WBGene00000008	aat-7	F54D12.3
worm	WBGene00000008	aat-7	F54D12.f
worm	ENSEMBL:WBGene00000008	aat-7	aat-7
worm	NCBI_Gene:186240	aat-7	aat-7
worm	WBGene00000009	aat-8	aat-8
worm	WBGene00000009	aat-8	CELE_F28F9.4
worm	WBGene00000009	aat-8	F28F9.4
worm	ENSEMBL:WBGene00000009	aat-8	aat-8
worm	NCBI_Gene:185079	aat-8	aat-8
worm	WBGene00000010	aat-9	aat-9
worm	WBGene00000010	aat-9	CELE_Y53H1C.1
worm	WBGene00000010	aat-9	Y53H1C.1
worm	ENSEMBL:WBGene00000010	aat-9	aat-9
worm	NCBI_Gene:190250	aat-9	aat-9
worm	WBGene00000012	abf-1	abf-1
worm	WBGene00000012	abf-1	C50F2.9
worm	WBGene00000012	abf-1	CELE_C50F2.9
worm	ENSEMBL:WBGene00000012	abf-1	abf-1
worm	NCBI_Gene:266827	abf-1	abf-1
worm	WBGene00000013	abf-2	abf-2
worm	WBGene00000013	abf-2	C50F2.10
worm	WBGene00000013	abf-2	C50F2.e
worm	WBGene00000013	abf-2	CELE_C50F2.10
worm	ENSEMBL:WBGene00000013	abf-2	abf-2
worm	NCBI_Gene:266826	abf-2	abf-2
worm	WBGene00000014	abf-3	abf-3
worm	WBGene00000014	abf-3	CELE_F54B8.5
worm	WBGene00000014	abf-3	F54B8.5
worm	ENSEMBL:WBGene00000014	abf-3	abf-3
worm	NCBI_Gene:186202	abf-3	abf-3
worm	WBGene00000015	abf-4	abf-4
worm	WBGene00000015	abf-4	CELE_Y38H6C.22
worm	WBGene00000015	abf-4	Y38H6C.22
worm	ENSEMBL:WBGene00000015	abf-4	abf-4
worm	NCBI_Gene:189702	abf-4	abf-4
worm	WBGene00000016	abf-5	abf-5
worm	WBGene00000016	abf-5	CELE_T22H6.5
worm	WBGene00000016	abf-5	T22H6.5
worm	ENSEMBL:WBGene00000016	abf-5	abf-5
worm	NCBI_Gene:188770	abf-5	abf-5
worm	WBGene00000017	abf-6	abf-6
worm	WBGene00000017	abf-6	CELE_T22H6.7
worm	WBGene00000017	abf-6	T22H6.7
worm	ENSEMBL:WBGene00000017	abf-6	abf-6
worm	NCBI_Gene:181418	abf-6	abf-6
worm	WBGene00000018	abl-1	abl-1
worm	WBGene00000018	abl-1	CELE_M79.1
worm	WBGene00000018	abl-1	M79.1
worm	ENSEMBL:WBGene00000018	abl-1	abl-1
worm	NCBI_Gene:181261	abl-1	abl-1
worm	WBGene00000019	abt-1	abt-1
worm	WBGene00000019	abt-1	C24F3.5
worm	WBGene00000019	abt-1	CELE_C24F3.5
worm	ENSEMBL:WBGene00000019	abt-1	abt-1
