species	external_id	current_symbol	prev_or_alias
zebrafish	ZDB-GENE-000112-47	ppardb	ppardb
zebrafish	NCBI_Gene:30754	ppardb	ppardb
zebrafish	ZDB-GENE-000125-12	igfbp2a	igfbp2a
zebrafish	NCBI_Gene:794176	igfbp2a	igfbp2a
zebrafish	ZDB-GENE-000125-4	dlc	dlc
zebrafish	NCBI_Gene:30120	dlc	dlc
zebrafish	ZDB-GENE-000128-11	dbx1b	dbx1b
zebrafish	NCBI_Gene:30416	dbx1b	dbx1b
zebrafish	ZDB-GENE-000128-13	dbx2	dbx2
zebrafish	NCBI_Gene:30417	dbx2	dbx2
zebrafish	ZDB-GENE-000128-8	dbx1a	dbx1a
zebrafish	NCBI_Gene:30394	dbx1a	dbx1a
zebrafish	ZDB-GENE-000201-13	anos1b	anos1b
zebrafish	NCBI_Gene:30652	anos1b	anos1b
zebrafish	ZDB-GENE-000201-18	pbx4	pbx4
zebrafish	NCBI_Gene:30728	pbx4	pbx4
zebrafish	ZDB-GENE-000201-9	anos1a	anos1a
zebrafish	NCBI_Gene:30630	anos1a	anos1a
zebrafish	ZDB-GENE-000208-13	crestin	crestin
zebrafish	NCBI_Gene:30186	crestin	crestin
zebrafish	ZDB-GENE-000208-17	calr3a	calr3a
zebrafish	NCBI_Gene:30248	calr3a	calr3a
zebrafish	ZDB-GENE-000208-18	urod	urod
zebrafish	NCBI_Gene:30617	urod	urod
zebrafish	ZDB-GENE-000208-20	mixl1	mixl1
zebrafish	NCBI_Gene:30115	mixl1	mixl1
zebrafish	ZDB-GENE-000208-21	kifc1	kifc1
zebrafish	NCBI_Gene:30453	kifc1	kifc1
zebrafish	ZDB-GENE-000208-23	col11a2	col11a2
zebrafish	NCBI_Gene:561679	col11a2	col11a2
zebrafish	ZDB-GENE-000208-25	bmp7a	bmp7a
zebrafish	NCBI_Gene:30584	bmp7a	bmp7a
zebrafish	ZDB-GENE-000208-28	ccl27a	ccl27a
zebrafish	NCBI_Gene:30268	ccl27a	ccl27a
zebrafish	ZDB-GENE-000208-4	zic1	zic1
zebrafish	NCBI_Gene:30096	zic1	zic1
zebrafish	ZDB-GENE-000208-8	copg2	copg2
zebrafish	NCBI_Gene:30187	copg2	copg2
zebrafish	ZDB-GENE-000208-9	cmn	cmn
zebrafish	NCBI_Gene:30208	cmn	cmn
zebrafish	ZDB-GENE-000209-3	robo1	robo1
zebrafish	NCBI_Gene:30769	robo1	robo1
zebrafish	ZDB-GENE-000209-4	robo3	robo3
zebrafish	NCBI_Gene:30770	robo3	robo3
zebrafish	ZDB-GENE-000210-10	tpst1	tpst1
zebrafish	NCBI_Gene:30677	tpst1	tpst1
zebrafish	ZDB-GENE-000210-13	nccrp1	nccrp1
zebrafish	NCBI_Gene:30078	nccrp1	nccrp1
zebrafish	ZDB-GENE-000210-15	btg2	btg2
zebrafish	NCBI_Gene:30079	btg2	btg2
zebrafish	ZDB-GENE-000210-17	elavl1b	elavl1b
zebrafish	NCBI_Gene:30065	elavl1b	elavl1b
zebrafish	ZDB-GENE-000210-19	rbp4	rbp4
zebrafish	NCBI_Gene:30077	rbp4	rbp4
zebrafish	ZDB-GENE-000210-20	cat	cat
zebrafish	NCBI_Gene:30068	cat	cat
zebrafish	ZDB-GENE-000210-21	inhbaa	inhbaa
zebrafish	NCBI_Gene:30072	inhbaa	inhbaa
zebrafish	ZDB-GENE-000210-23	meis2b	meis2b
zebrafish	NCBI_Gene:30066	meis2b	meis2b
zebrafish	ZDB-GENE-000210-25	khdrbs1a	khdrbs1a
zebrafish	NCBI_Gene:30082	khdrbs1a	khdrbs1a
zebrafish	ZDB-GENE-000210-28	chico	chico
zebrafish	NCBI_Gene:30067	chico	chico
zebrafish	ZDB-GENE-000210-31	vdra	vdra
zebrafish	NCBI_Gene:30076	vdra	vdra
zebrafish	ZDB-GENE-000210-32	nme2b.1	nme2b.1
zebrafish	NCBI_Gene:30083	nme2b.1	nme2b.1
zebrafish	ZDB-GENE-000210-33	nme2b.2	nme2b.2
zebrafish	NCBI_Gene:30084	nme2b.2	nme2b.2
zebrafish	ZDB-GENE-000210-34	nme3	nme3
zebrafish	NCBI_Gene:30085	nme3	nme3
zebrafish	ZDB-GENE-000210-35	nme7	nme7
zebrafish	NCBI_Gene:30086	nme7	nme7
zebrafish	ZDB-GENE-000210-6	twist1a	twist1a
